indicator_id,label,short_label,definition,reading,range,grouped_note,reference_keys,unstable
gini_grouped,"Gini agrupado","Gini agrupado","Mede o quanto a distribuição observada se afasta da igualdade perfeita, pela área entre a curva de Lorenz e a diagonal.","0 significa que todos os grupos têm a mesma renda média; 1 significa que toda a renda está concentrada num único grupo.","0 a 1","Calculado sobre as médias e as quantidades dos 118 grupos disjuntos. O valor publicado é o limite inferior — trapézio de Lorenz sobre as médias — e não enxerga a desigualdade dentro de cada grupo; o limite superior no espírito de Gastwirth acompanha a série, na coluna gini_upper_bound dos dados curados.",gastwirth1972;cowell2011,0
gini_upper_bound,"Limite superior do Gini","Limite superior do Gini","Maior Gini compatível com as médias e os limites monetários divulgados de cada grupo.","A distância até o Gini agrupado é o quanto a desigualdade dentro dos grupos poderia acrescentar, no pior caso.","0 a 1","Construído no espírito de Gastwirth (1972): soma a máxima desigualdade interna admissível em cada grupo. O par gini_lower_bound e gini_upper_bound acompanha todas as distribuições publicadas.",gastwirth1972,0
theil_t_grouped,"Theil T agrupado","Theil T agrupado","Índice de entropia que pondera cada grupo pela sua participação na renda.","0 na igualdade perfeita; cresce conforme a renda se concentra, sem teto fixo.","0 ou mais","Com dados agrupados capta apenas o componente entre grupos. É essa propriedade aditiva que permite a decomposição da desigualdade entre e dentro das UFs publicada pelo projeto.",theil1967;cowell2011,0
atkinson_grouped,"Atkinson (ε = 0,5)","Atkinson (ε = 0,5)","Proporção da renda total de que se poderia abrir mão, sob distribuição igualitária, mantendo o mesmo bem-estar. O parâmetro ε fixa a aversão à desigualdade.","0,10 significa que o mesmo bem-estar seria obtido com 90% da renda, se ela fosse distribuída por igual.","0 a 1","ε = 0,5 é o valor congelado em config/project.yml; o caso-limite ε = 1 usa a média geométrica dos grupos. Sem informação dentro dos grupos, o índice é um piso.",atkinson1970;cowell2011,0
top_10_share,"Participação do top 10%","Participação do top 10%","Fração da renda total do conceito de ordenação que cabe às 10% de declarações de maior renda.","0,55 significa que o décimo do topo concentra 55% da renda declarada.","0 a 1","Soma dos grupos divulgados cujo limite inferior começa em 0,90, sem interpolação dentro dos grupos.",medeiros_souza_castro2015;morgan2017,0
top_1_share,"Participação do top 1%","Participação do top 1%","Fração da renda total do conceito de ordenação que cabe ao 1% de declarações de maior renda.","0,21 significa que o centésimo do topo concentra 21% da renda declarada.","0 a 1","Soma dos grupos 101 a 109 e 111 a 120, que são disjuntos. O agregado 100 não é somado de novo.",medeiros_souza_castro2015;souza2018,0
top_0_1_share,"Participação do top 0,1%","Participação do top 0,1%","Fração da renda total do conceito de ordenação que cabe ao 0,1% de declarações de maior renda.","0,09 significa que um milésimo das declarações concentra 9% da renda declarada.","0 a 1","Soma dos grupos 111 a 120, que são disjuntos. O agregado 110 não é somado de novo.",medeiros_souza_castro2015;souza2018,0
top_0_01_share,"Participação do top 0,01%","Participação do top 0,01%","Fração da renda total do conceito de ordenação que cabe ao 0,01% de declarações de maior renda.","0,04 significa que uma em cada dez mil declarações concentra 4% da renda declarada.","0 a 1","Corresponde ao grupo 120 isolado. É o grupo em que o arquivo oficial de 2018 apresenta um salto que torna o ano incomparável com os vizinhos.",medeiros_souza_castro2015,0
bottom_40_share,"Participação dos 40% de menor renda","Participação dos 40% da base","Fração da renda total do conceito de ordenação que cabe aos 40% de declarações de menor renda.","0,08 significa que os quatro décimos da base reúnem 8% da renda declarada.","0 a 1","Soma dos grupos divulgados até o limite superior de 0,40, sem interpolação dentro dos grupos.",palma2011,0
palma,"Palma (instável em algumas UFs)","Razão de Palma","Razão entre a renda do décimo mais rico e a renda dos quatro décimos mais pobres.","3,0 significa que o topo 10% recebe três vezes o que recebem os 40% da base.","0 ou mais","Não é limitado por construção. Quando a renda declarada da base tende a zero — o que ocorre em algumas UFs — a razão explode e deixa de ser comparável entre geografias.",palma2011,1
